Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,103000,Riyadh,114000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,72418,Riyadh,27500
Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,114154,Riyadh,43000
Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912,Riyadh,59500
Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,39000,Riyadh,72000
Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,183000,Riyadh,92000
Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,70000,Riyadh,80000
Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,131000,Jeddah,32000
Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000,Dammam,50000
Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,106000,Dammam,135000
Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,176140,Riyadh,153000
E,2017,Saudi,Grey,Full,2.0,Gas,Automatic,20600,Dammam,210000
Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,83000,Jeddah,37000
Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,7702,Dammam,45000
Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000,Dammam,83000
Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,58000,Al-Medina,24500
Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,93000,Jeddah,83000
Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,3000,Dammam,174000
Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,83000,Riyadh,50000
Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,200000,Jeddah,38000
Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000,Qassim,145000
RX,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,129000,Jeddah,178000
Range Rover,2014,Saudi,Black,Full,3.0,Gas,Automatic,80000,Makkah,230000
Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,137317,Dammam,130000
Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,27000,Riyadh,68000
Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,300,Jazan,50000
Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,112963,Riyadh,27500
Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,108650,Riyadh,43000
Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455,Riyadh,36000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,93762,Riyadh,26800
Rav4,2020,Gulf Arabic,White,Full,2.5,Gas,Automatic,15000,Dammam,111000
CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,89000,Riyadh,99000
Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,348000,Riyadh,50000
Yukon,2008,Saudi,Golden,Full,5.3,Gas,Automatic,286000,Riyadh,48000
Camry,2020,Saudi,Silver,Standard,2.5,Hybrid,Automatic,46000,Riyadh,75000
ES,2015,Saudi,White,Full,3.5,Gas,Automatic,85000,Riyadh,80000
Cadenza,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,115000,Riyadh,55000
Tucson,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,157000,Riyadh,50000
Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000,Riyadh,68000
Platinum,2015,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,181000,Riyadh,70000
G80,2019,Saudi,White,Semi Full,3.8,Gas,Automatic,84000,Riyadh,120000
Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,201000,Riyadh,108000
Yukon,2009,Saudi,Golden,Standard,5.3,Gas,Automatic,395000,Riyadh,43000
Rav4,2016,Saudi,White,Full,2.5,Gas,Automatic,363000,Riyadh,58000
Accent,2020,Saudi,Another Color,Standard,1.4,Gas,Automatic,2000,Riyadh,42000
ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,349000,Riyadh,70000
Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,78000,Riyadh,62000
G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,75000,Riyadh,110000
Accord,2016,Saudi,Another Color,Full,3.5,Gas,Automatic,350000,Riyadh,50000
G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,127000,Riyadh,93000
LX,2015,Saudi,White,Full,5.7,Gas,Automatic,247000,Riyadh,165000
Patrol,2012,Saudi,White,Semi Full,5.6,Gas,Automatic,381000,Riyadh,75000
Yukon,2008,Saudi,Another Color,Full,5.3,Gas,Automatic,382000,Riyadh,45000
GX,2015,Saudi,White,Full,4.6,Gas,Automatic,146000,Riyadh,126000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,87537,Riyadh,26800
Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,99104,Riyadh,26800
Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,106007,Riyadh,26800
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88564,Riyadh,26800
Azera,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,166000,Riyadh,47000
Accord,2015,Saudi,Golden,Semi Full,2.4,Gas,Automatic,196000,Riyadh,59000
G80,2018,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000,Riyadh,110000
Tahoe,2014,Saudi,Brown,Semi Full,5.3,Gas,Automatic,382000,Riyadh,60000
CT-S,2010,Saudi,Another Color,Full,3.6,Gas,Automatic,240000,Riyadh,32000
Prado,2013,Saudi,Another Color,Full,3.8,Gas,Automatic,108000,Riyadh,87000
EC7,2014,Saudi,Golden,Full,1.5,Gas,Manual,161300,Riyadh,12000
ZS,2019,Saudi,Black,Semi Full,1.5,Gas,Automatic,23000,Riyadh,47000
ES,2019,Saudi,Another Color,Full,2.9166666666666665,Gas,Automatic,26000,Jeddah,207000
Kona,2019,Saudi,Blue,Standard,2.0,Gas,Automatic,19000,Riyadh,59000
Grand Cherokee,2014,Saudi,Black,Full,5.7,Gas,Automatic,120000,Riyadh,85000
Yukon,2016,Gulf Arabic,White,Semi Full,5.383333333333333,Gas,Automatic,63000,Riyadh,140000
Accord,2015,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,221000,Riyadh,48000
S,2006,Other,White,Semi Full,4.3,Gas,Automatic,235115,Riyadh,15000
M,2007,Saudi,Black,Full,4.5,Gas,Automatic,303000,Riyadh,10000
Charger,2018,Saudi,Another Color,Full,5.7,Gas,Automatic,85000,Aseer,130000
S,2018,Saudi,Grey,Full,3.75,Gas,Automatic,73000,Riyadh,345000
Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,82000,Riyadh,77000
E,2014,Gulf Arabic,White,Standard,2.0,Gas,Automatic,49000,Dammam,75000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105739,Riyadh,26800
Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,55526,Riyadh,27500
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,98659,Riyadh,27500
