,Type,Year,Color,Engine_Size,Mileage,Region,Price,Gear_Type_Encoded,Options_Full,Options_Semi Full,Options_Standard,Origin_Gulf Arabic,Origin_Other,Origin_Saudi,Fuel_Type_Diesel,Fuel_Type_Gas,Fuel_Type_Hybrid
0,0.0,0.20179999999999998,0.0,0.5700000000000001,0.0103,0.0,0.00114,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0.002849002849002849,0.20190000000000002,0.07142857142857142,0.15,0.0072418,0.0,0.00027499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2,0.005698005698005698,0.20190000000000002,0.14285714285714285,0.16,0.0114154,0.0,0.00043,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,0.005698005698005698,0.20190000000000002,0.07142857142857142,0.2,0.0041912,0.0,0.0005949999999999999,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,0.008547008547008548,0.20179999999999998,0.21428571428571427,0.15,0.0039,0.0,0.0007199999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,0.011396011396011397,0.2011,0.2857142857142857,0.45,0.0183,0.0,0.00092,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,0.014245014245014245,0.20190000000000002,0.0,0.36,0.007000000000000001,0.0,0.0008,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
7,0.017094017094017096,0.20179999999999998,0.2857142857142857,0.15,0.0131,0.038461538461538464,0.00032,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8,0.019943019943019943,0.2017,0.2857142857142857,0.25,0.0107,0.07692307692307693,0.0005,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
9,0.022792022792022793,0.20139999999999997,0.2857142857142857,0.5599999999999999,0.0106,0.07692307692307693,0.00135,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,0.02564102564102564,0.20179999999999998,0.14285714285714285,0.53,0.017614,0.0,0.00153,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,0.03133903133903134,0.20190000000000002,0.2857142857142857,0.13999999999999999,0.0083,0.038461538461538464,0.00037,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
13,0.03418803418803419,0.20179999999999998,0.2857142857142857,0.16,0.0007702,0.07692307692307693,0.00045,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
14,0.037037037037037035,0.2016,0.14285714285714285,0.2,0.011,0.07692307692307693,0.00083,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,0.002849002849002849,0.2017,0.2857142857142857,0.15,0.0058,0.11538461538461539,0.000245,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
16,0.022792022792022793,0.2016,0.2857142857142857,0.48,0.0093,0.038461538461538464,0.00083,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
17,0.039886039886039885,0.2021,0.2857142857142857,0.4,0.0003,0.07692307692307693,0.0017399999999999998,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
18,0.005698005698005698,0.20179999999999998,0.2857142857142857,0.16,0.0083,0.0,0.0005,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
19,0.042735042735042736,0.2017,0.0,0.15,0.02,0.038461538461538464,0.00038,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20,0.045584045584045586,0.2021,0.2857142857142857,0.24,0.0029,0.15384615384615385,0.00145,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,0.04843304843304843,0.20190000000000002,0.35714285714285715,0.35,0.012900000000000002,0.038461538461538464,0.00178,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23,0.05413105413105413,0.2017,0.07142857142857142,0.53,0.0137317,0.07692307692307693,0.0013000000000000002,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
24,0.05698005698005698,0.202,0.2857142857142857,0.35,0.0027,0.0,0.00068,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
25,0.05982905982905983,0.2015,0.2857142857142857,0.26,3e-05,0.23076923076923078,0.0005,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,0.002849002849002849,0.20190000000000002,0.2857142857142857,0.15,0.011296299999999999,0.0,0.00027499999999999996,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
27,0.005698005698005698,0.20190000000000002,0.07142857142857142,0.16,0.010865,0.0,0.00043,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
